tgos_id,key,address,raw,county,source,method,count,courses
1,臺北市長安西路37之1號,臺北市長安西路37之1號,台北市長安西路37-1號,臺北市,moe-cc-courses,門牌,323,207
2,高雄市鳳山區勝國街67號,高雄市鳳山區勝國街67號,高雄市鳳山區勝國街67號2樓,高雄市,moe-cc-courses,門牌,142,141
2,鳳山區勝國街67號,高雄市鳳山區勝國街67號,鳳山區勝國街67號2樓,高雄市,moe-cc-courses,門牌,1,1
3,臺北市信義區110臺北市信義區松仁路158巷1號,臺北市信義區松仁路158巷1號,臺北市信義區110臺北市信義區松仁路158巷1號,臺北市,taipei-cc,門牌,139,139
4,臺中市西屯區工業區一路100號,臺中市西屯區工業區一路100號,臺中市西屯區工業區一路100號,臺中市,mol-6060,門牌,132,115
5,宜蘭市復興路2段77號,宜蘭縣宜蘭市復興路2段77號,宜蘭市復興路二段77號(復興國中內),宜蘭縣,moe-cc-courses,門牌,111,111
6,臺北市士林區校本部：承德路4段177號,臺北市承德路4段177號,臺北市士林區校本部：承德路四段177號(百齡高中),臺北市,taipei-cc,門牌,99,99
7,彰化縣秀水鄉中山路245號,彰化縣秀水鄉中山路245號,彰化縣秀水鄉中山路245號,彰化縣,moe-cc-courses,門牌,86,86
8,臺中市大甲區和平路223號,臺中市大甲區和平路223號,437臺中市大甲區和平路223號,臺中市,moe-cc-courses,門牌,46,83
8,臺中市大甲區和平路223號,臺中市大甲區和平路223號,台中市大甲區和平路223號,臺中市,moe-cc-courses,門牌,36,83
8,臺中市大甲區和平路223號,臺中市大甲區和平路223號,臺中市大甲區和平路223號,臺中市,moe-cc-courses,門牌,2,83
8,大甲區和平路223號,臺中市大甲區和平路223號,大甲區和平路223號,臺中市,moe-cc-courses,門牌,1,1
9,校本部,高雄市三民區市中一路339號,校本部（高雄市三民區市中一路339號）,高雄市,moe-cc-courses,門牌,84,84
10,後甲國中,臺南市東區林森路2段260號,後甲國中（東區林森路二段260號）,臺南市,moe-cc-courses,門牌,83,83
11,臺北市北投區校本部北投區中山路5之12號,臺北市北投區校本部北投區中山路5之12號,臺北市北投區校本部北投區中山路5-12號,臺北市,taipei-cc,門牌,213,76
12,臺南市官田區官田工業區工業路40號,臺南市官田區官田工業區工業路40號,臺南市官田區官田工業區工業路40號,臺南市,mol-6060,門牌,82,76
13,桃園市楊梅區秀才路851號,桃園市楊梅區秀才路851號,桃園市楊梅區秀才路851號,桃園市,mol-6060,門牌,74,71
14,龜山區頂興路2號,桃園市龜山區頂興路2號,龜山區頂興路2號,桃園市,moe-cc-courses,門牌,68,68
14,桃園市龜山區頂興路2號,桃園市龜山區頂興路2號,桃園市龜山區頂興路2號,桃園市,moe-cc-sites,門牌,1,0
15,屏東市公裕街300號,屏東縣屏東市公裕街300號,屏東市公裕街300號,屏東縣,moe-cc-courses,門牌,62,62
16,大成國中,臺南市南區西門路1段306號,大成國中（南區西門路一段306號）,臺南市,moe-cc-courses,門牌,61,61
17,高雄市前鎮區凱旋四路105號,高雄市前鎮區凱旋四路105號,高雄市前鎮區凱旋四路105號,高雄市,mol-6060,門牌,62,55
18,臺北市士林區公民教室：承德路4段190號,臺北市承德路4段190號,臺北市士林區公民教室：承德路四段190號2樓(第6教室),臺北市,taipei-cc,門牌,21,51
18,臺北市士林區公民教室：承德路4段190號,臺北市承德路4段190號,臺北市士林區公民教室：承德路四段190號3樓(第4教室),臺北市,taipei-cc,門牌,15,51
18,臺北市士林區公民教室：承德路4段190號,臺北市承德路4段190號,臺北市士林區公民教室：承德路四段190號3樓(第3教室),臺北市,taipei-cc,門牌,15,51
18,臺北市承德路4段190號,臺北市承德路4段190號,臺北市承德路4段190號及192號3樓,臺北市,moe-cc-sites,門牌,1,0
19,新竹市竹蓮街6號,新竹市竹蓮街6號,新竹市竹蓮街6號,新竹市,cc-shared-platform,門牌,50,50
20,楊梅區新農街337號,桃園市楊梅區新農街337號,楊梅區新農街337號,桃園市,moe-cc-courses,門牌,47,47
21,臺江文化中心,臺南市安南區安吉路1段207號,台江文化中心（台南市安南區安吉路一段207號),臺南市,moe-cc-courses,門牌,47,47
22,新北市泰山區致遠新村55之1號,新北市泰山區致遠新村55之1號,新北市泰山區致遠新村55-1號,新北市,mol-6060,門牌,52,42
23,桃園區南華街77號,桃園市桃園區南華街77號,桃園區南華街77號9樓,桃園市,moe-cc-courses,門牌,37,37
23,桃園市桃園區南華街77號,桃園市桃園區南華街77號,桃園市桃園區南華街77號10樓之2,桃園市,taiwanjobs,門牌,3,3
24,桃園市八德區福國北街220號,桃園市八德區福國北街220號,桃園市八德區福國北街220號,桃園市,moe-cc-courses,門牌,39,39
25,臺北市士林區承德路4段190號,臺北市士林區承德路4段190號,臺北市士林區承德路四段190號三樓,臺北市,moe-cc-courses,門牌,22,38
25,臺北市士林區承德路4段190號,臺北市士林區承德路4段190號,臺北市士林區承德路四段190號二樓,臺北市,moe-cc-courses,門牌,20,38
26,福東國小,高雄市苓雅區福德三路96號,福東國小（高雄市苓雅區福德三路96號）,高雄市,moe-cc-courses,門牌,33,33
27,二林鎮後厝里長春路637號,彰化縣二林鎮後厝里長春路637號,二林鎮後厝里長春路637號,彰化縣,moe-cc-courses,門牌,31,31
27,彰化縣二林鎮後厝里長春路637號,彰化縣二林鎮後厝里長春路637號,彰化縣二林鎮後厝里長春路637號,彰化縣,moe-cc-sites,門牌,1,0
28,桃園市楊梅區幼獅路2段3號,桃園市楊梅區幼獅路2段3號,桃園市楊梅區幼獅路２段3號,桃園市,mol-6060,門牌,25,31
28,桃園市楊梅區幼獅路2段3號,桃園市楊梅區幼獅路2段3號,桃園市楊梅區幼獅路二段3號,桃園市,mol-6060,門牌,6,31
28,桃園市楊梅區幼獅路2段3號,桃園市楊梅區幼獅路2段3號,桃園市楊梅區幼獅路2段3號,桃園市,mol-6060,門牌,5,31
29,臺北市士林區士林區承德路4段177號,臺北市士林區士林區承德路4段177號,臺北市士林區士林區承德路四段177號,臺北市,taipei-cc,門牌,31,31
30,新北市五股區五權路17號,新北市五股區五權路17號,新北市五股區五權路17號7樓,新北市,mol-6060,門牌,15,29
30,新北市五股區五權路17號,新北市五股區五權路17號,新北市五股區五權路17號4樓,新北市,mol-6060,門牌,9,29
30,新北市五股區五權路17號,新北市五股區五權路17號,新北市五股區	五權路17號7樓,新北市,mol-6060,門牌,3,29
30,新北市五股區五權路17號,新北市五股區五權路17號,新北市五股區五權路17號5樓,新北市,mol-6060,門牌,3,29
30,新北市五股區五權路17號,新北市五股區五權路17號,新北市五股區五權路17號6樓,新北市,mol-6060,門牌,3,29
30,新北市五股區五權路17號,新北市五股區五權路17號,新北市五股區五權路17號8樓,新北市,mol-6060,門牌,1,29
30,新北市五股區五權路17號,新北市五股區五權路17號,新北市五股區五權路17號4樓A404教室,新北市,mol-6060,門牌,1,29
31,臺北市士林區公民教室：承德路4段192號,臺北市承德路4段192號,臺北市士林區公民教室：承德路四段192號3樓(第2教室),臺北市,taipei-cc,門牌,15,29
31,臺北市士林區公民教室：承德路4段192號,臺北市承德路4段192號,臺北市士林區公民教室：承德路四段192號2樓(第5教室),臺北市,taipei-cc,門牌,8,29
31,臺北市士林區公民教室：承德路4段192號,臺北市承德路4段192號,臺北市士林區公民教室：承德路四段192號3樓(第1教室),臺北市,taipei-cc,門牌,6,29
32,左營大路2之2號,高雄市左營大路2之2號,左營大路2-2號,高雄市,moe-cc-courses,門牌,29,29
33,臺南市官田區工業路40號,臺南市官田區工業路40號,臺南市官田區工業路40號,臺南市,mol-6060,門牌,32,28
34,楊梅區金龍里26鄰中興路238號,桃園市楊梅區金龍里26鄰中興路238號,楊梅區金龍里26鄰中興路238號2樓,桃園市,moe-cc-courses,門牌,27,27
35,臺南市永康區中山東路430號,臺南市永康區中山東路430號,臺南市永康區中山東路430號,臺南市,taiwanjobs,門牌,8,27
35,臺南市永康區中山東路430號,臺南市永康區中山東路430號,臺南市永康區中山東路430號2樓2B教室,臺南市,taiwanjobs,門牌,5,27
35,臺南市永康區中山東路430號,臺南市永康區中山東路430號,臺南市永康區中山東路430號4F4B教室,臺南市,taiwanjobs,門牌,3,27
35,臺南市永康區中山東路430號,臺南市永康區中山東路430號,臺南市永康區中山東路430號4樓4B教室,臺南市,taiwanjobs,門牌,3,27
35,臺南市永康區中山東路430號,臺南市永康區中山東路430號,臺南市永康區中山東路430號2F2A教室,臺南市,taiwanjobs,門牌,2,27
35,臺南市永康區中山東路430號,臺南市永康區中山東路430號,臺南市永康區中山東路430號4F4A教室,臺南市,taiwanjobs,門牌,2,27
35,臺南市永康區中山東路430號,臺南市永康區中山東路430號,臺南市永康區中山東路430號3樓3B教室,臺南市,taiwanjobs,門牌,2,27
35,臺南市永康區中山東路430號,臺南市永康區中山東路430號,臺南市永康區中山東路430號3樓3A教室,臺南市,taiwanjobs,門牌,2,27
36,臺北市北投區立農街1段250號,臺北市北投區立農街1段250號,臺北市北投區立農街一段250號,臺北市,taipei-cc,門牌,26,26
37,新竹市民族路31號,新竹市民族路31號,新竹市民族路31號11樓,新竹市,taiwanjobs,門牌,23,25
37,新竹市民族路31號,新竹市民族路31號,新竹市民族路31號10-11樓,新竹市,taiwanjobs,門牌,2,25
38,桃園市八德區陸光街50巷24號,桃園市八德區陸光街50巷24號,桃園市八德區陸光街50巷24號,桃園市,cc-shared-platform,門牌,24,24
39,水里鄉民生路68號,南投縣水里鄉民生路68號,水里鄉民生路68號,南投縣,moe-cc-courses,門牌,22,22
