address,reason,affected_records
臺北市北投區校本部北投區中山路5之12號,無座標,213
臺南市官田區官田工業區工業路40號,無座標,82
臺北市中山區北市中山區吉林路110號,無座標,74
新北市泰山區致遠新村55之1號,無座標,52
臺北市士林區士林區承德路4段177號,無座標,31
臺中市北區東興路3段246號,無座標,24
新北市瑞芳區中山路2號,無座標,22
臺北市北投區北投國小教學點-北投區中央北路1段73號,無座標,19
臺北市北投區凱達格蘭文化館教學點-北投區中山路3之1號,無座標,14
基隆市仁愛區延平街5號,無座標,13
桃園市中平路118號,無座標,12
嘉義市東區民權路28號,無座標,11
高雄市鼓山三路4號,無座標,10
臺北市北投區北投國中教學點-北投區溫泉里溫泉路62號,無座標,8
新竹市東區金城一路65號,無座標,7
高雄市鼎金一巷36號,無座標,7
臺中市南屯區臺中市公益路2段51號,無座標,6
彰化縣溪湖鎮大溪路2段423號,無座標,6
雲林縣元長鄉1612號,無座標,6
屏東縣恆春鎮省北路2段439號,無座標,5
臺北市中山區北市復興北路430巷1號,無座標,5
臺北市萬華區莒光路315號,無座標,5
臺南市永康區鹽和街244號,無座標,5
屏東縣里港鄉永春村民生路24之2號,無座標,5
臺中市大甲區文武路10號,無座標,5
臺北市北投區關渡國中教學點-北投區關渡里知行路212號,無座標,5
桃園市中壢區32056新生路2段421號,無座標,4
臺北市中山區北市松江路70巷11號,無座標,4
高雄市前鎮區三多二路9號,無座標,4
臺中市西屯區臺中市西屯區文華路100號,無座標,4
雲林縣北港鎮北港鎮華勝路445巷18號,無座標,4
雲林縣林內鄉新興路81號,無座標,4
高雄市田寮區廟後巷2號,無座標,4
苗栗縣苑裡鎮育才街100號,無座標,4
嘉義市大同路100號,無座標,3
宜蘭縣宜蘭市宜蘭縣宜蘭市中山路3段3號,無座標,3
新竹縣竹東鎮新竹縣竹東鎮中興路3段114號,無座標,3
桃園市桃園區廈門街62號,無座標,3
臺南市官田區官田區工業路40號,無座標,3
新竹市東區新竹市東區大學路1001號,無座標,3
臺南市安南區布袋路60號,無座標,3
臺南市安南區鹽安路28號,無座標,3
新北市坪林區坪林街101號,無座標,3
高雄市林園區東林西路364巷74號,無座標,3
高雄市美濃區永安路341號,無座標,3
苗栗縣通霄鎮通東里中正路8號,無座標,3
宜蘭縣頭城鎮纘祥路39號,無座標,3
屏東縣竹田鄉豐明路23號,無座標,3
臺北市內湖區內湖區湖興里民權東路6段99號,無座標,3
臺南市佳里區安西里118之3號,無座標,3
臺南市靠近新市區大社里大社關懷據點-大社里605號,無座標,3
臺南市麻豆區大埕里65號,無座標,3
臺南市麻豆區油車里18號,無座標,3
嘉義縣竹崎鄉387巷28號,無座標,2
屏東縣恆春鎮四溝里大平頂段下大平頂小段203之3號,無座標,2
屏東縣恆春鎮恆南路11巷2弄2號,無座標,2
屏東縣東港鎮興東里47之1號,無座標,2
彰化縣彰化市建興路1號,無座標,2
新北市三峽區介壽路2段138巷88號,無座標,2
新竹市北區湳雅街84號,無座標,2
桃園市大溪區月眉15鄰105號,無座標,2
桃園市觀音區白玉里玉林路1段180號,無座標,2
臺中市南屯區大墩6街319巷41號,無座標,2
臺北市中山區長安西路33號,無座標,2
臺北市文山區文山區福興路80號,無座標,2
臺南市善化區南科三路26號,無座標,2
臺南市安南功安一街162號,無座標,2
臺南市安南區安和路4段533巷94號,無座標,2
臺南市鹽水區朝琴路137號,無座標,2
高雄市緯十一路17號,無座標,2
臺南市東區臺南市東區大學路1號,無座標,2
高雄市苓雅區高雄市苓雅區中正二路30號,無座標,2
臺中市潭子區中山路2段31號,無座標,2
新北市坪林區坪林街114號,無座標,2
新北市板橋區成都街30號,無座標,2
嘉義縣竹崎鄉內埔村崁腳1號,無座標,2
彰化縣大城鄉東平路36號,無座標,2
新竹市東區民享一街112號,無座標,2
臺南市善化區南129鄉道23號,無座標,2
臺南市麻豆區總榮里81號,無座標,2
雲林縣褒忠鄉褒忠鄉新湖村新湖2之3號,無座標,2
雲林縣西螺鎮光復西路69號,無座標,2
高雄市楠梓區宏毅二路52號,無座標,2
嘉義縣民雄鄉北勢仔17號,無座標,2
宜蘭縣冬山鄉光明路55號,無座標,2
屏東縣恆春鎮恆南路158號,無座標,2
彰化縣伸港鄉曾家村曾家路72號,無座標,2
彰化縣和美鎮竹社路123號,無座標,2
臺中市大甲區德興路65號,無座標,2
臺北市內湖區內湖區五分街6號,無座標,2
臺北市內湖區南港區南港里南港路1段350號,無座標,2
臺北市內湖區南港區南港里市民大道8段367號,無座標,2
臺南市佳里區下營里頂?117號,無座標,2
臺南市南化區227號,無座標,2
臺南市南化區南化里172之1號,無座標,2
臺南市善化區東勢寮東隆里186之5號,無座標,2
臺南市善化區東隆里186之5號,無座標,2
臺南市安南區安西一街26號,無座標,2
臺南市柳營區226之1號,無座標,2
臺南市白河區中山路124號,無座標,2
臺南市麻豆區磚井里139之17號,無座標,2
花蓮縣莊敬路7號,無座標,2
苗栗縣三義鄉雙湖村17鄰106之2號,無座標,2
雲林縣西螺鎮埤頭里1之1號,無座標,2
高雄市新生路1號,無座標,2
高雄市高雄市小港區平治街42號,無座標,2
高雄市鳥松區?埔路4巷10號,無座標,2
南投縣信義鄉南投縣信義鄉地利村開信巷1之1號,無座標,1
南投縣南投市南投縣南投市民生街33之3號,無座標,1
嘉義縣大林鎮大美里33號,無座標,1
嘉義縣大林鎮東榮路50號,無座標,1
屏東縣滿州鄉公館路42號,無座標,1
彰化縣員林市員集路2段244巷119號,無座標,1
彰化縣員林市彰化縣員林市中山路2段109號,無座標,1
彰化縣員林市林森路396號,無座標,1
彰化縣大城鄉永鎮路12號,無座標,1
彰化縣大城鄉臺西村順應路4號,無座標,1
