address,lat,lng,matched_address,updated_at
.中心本部：燕巢區東燕里中華路177號,22.795258,120.365870,高雄市燕巢區東燕里2鄰中華路177號,2026-09-13
27彰化縣大城鄉中平路118號,23.853414,120.320799,彰化縣大城鄉大城村9鄰中平路118號,2026-09-13
BOOK◎思藝生活美學教室,22.627313,120.319913,高雄市苓雅區同慶里3鄰同慶路108號,2026-09-13
三民區九如一路720號,22.640193,120.322850,高雄市三民區安發里17鄰九如一路720號,2026-09-13
三民區光武路72號,22.638801,120.335243,高雄市三民區寶德里3鄰光武路72號,2026-09-13
三民區大裕路333號,22.661579,120.326728,高雄市三民區鼎西里1鄰大裕路333號,2026-09-13
三民區自立一路535號,22.650353,120.296483,高雄市三民區安宜里1鄰自立一路535號,2026-09-13
三灣鄉三灣村忠信路17號,24.649621,120.953587,苗栗縣三灣鄉三灣村15鄰忠信路17號,2026-09-13
三義鄉雙潭村雙連潭110之7號,24.408792,120.782670,苗栗縣三義鄉双潭村9鄰双連潭110之7號,2026-09-13
三芝區淡金路1段37號,25.259468,121.501149,新北市三芝區埔頭里29鄰淡金路一段37號,2026-09-13
三芝區淡金路1段38號,25.259371,121.501856,新北市三芝區埔頭里29鄰淡金路一段38號,2026-09-13
三重區三和路3段170巷49號,25.072680,121.490835,新北市三重區厚德里11鄰三和路三段170巷49號,2026-09-13
三重區三和路3段1號,25.070412,121.497293,新北市三重區奕壽里2鄰三和路三段1號,2026-09-13
中和區保健路44巷2號,24.997053,121.509260,新北市中和區安和里1鄰保健路44巷2號,2026-09-13
中和區興南路2段3巷17號,24.986176,121.508541,新北市中和區忠孝里11鄰興南路二段3巷17號,2026-09-13
中壢區崇德三路288號,24.991170,121.186963,桃園市中壢區月眉里16鄰崇德三路288號,2026-09-13
中壢區永樂路21號,24.953078,121.222587,桃園市中壢區石頭里12鄰永樂路21號,2026-09-13
中壢區青商路288號,25.008302,121.220268,桃園市中壢區青埔里10鄰青商路288號,2026-09-13
中洲寮保安宮,23.063632,120.216104,臺南市安南區州南里7鄰長和路三段96號,2026-09-13
中華一路2133巷47號,22.653691,120.296325,高雄市鼓山區龍子里37鄰中華一路2133巷47號,2026-09-13
中華一路25號,22.667630,120.289441,高雄市鼓山區裕興里1鄰中華一路25號,2026-09-13
九如一路232號,22.638009,120.336007,高雄市三民區寶德里1鄰九如一路232號,2026-09-13
九如鄉九如路2段205號,22.734440,120.488992,屏東縣九如鄉九清村1鄰九如路二段205號,2026-09-13
九如鄉九如路2段264號,22.734404,120.489576,屏東縣九如鄉東寧村16鄰九如路二段264號,2026-09-13
九如鄉九如路2段3之1號,22.726283,120.486469,屏東縣九如鄉九清村16鄰九如路二段3之1號,2026-09-13
九如鄉後庄村後庄路68號,22.746166,120.501244,屏東縣九如鄉後庄村12鄰後庄路68號,2026-09-13
二崙鄉崙西村中正路1號,23.769560,120.411245,雲林縣二崙鄉崙西村5鄰中正路1號,2026-09-13
二林鎮二溪路1段57號,23.901601,120.370428,彰化縣二林鎮北平里4鄰二溪路一段57號,2026-09-13
二林鎮五權街92巷25號,23.901224,120.379396,彰化縣二林鎮後厝里11鄰五權街92巷25號,2026-09-13
二林鎮南光里儒林路2段100之1號,23.892255,120.370976,彰化縣二林鎮南光里17鄰儒林路二段100號,2026-09-13
二林鎮南光里懷仁街8號,23.893959,120.366171,彰化縣二林鎮南光里23鄰懷仁街8號,2026-09-13
二林鎮後厝里長春路637號,23.897538,120.378885,彰化縣二林鎮後厝里13鄰長春路637號,2026-09-13
二林鎮東興里長青路臨139號,23.896308,120.377453,彰化縣二林鎮東興里12鄰長青路139號,2026-09-13
二林鎮萬合里太平路2段600號,23.916506,120.408331,彰化縣二林鎮萬合里9鄰太平路二段600號,2026-09-13
二林鎮西平里西和一街65號,23.897339,120.362070,彰化縣二林鎮西平里13鄰西和一街65號,2026-09-13
五權社大,24.142522,120.668576,臺中市西區安龍里1鄰五權路2之3號,2026-09-13
什三佃慶興宮,23.050955,120.198355,臺南市安南區原佃里5鄰本原街一段160號,2026-09-13
伸港鄉新港村自強路臨30號,24.143899,120.486868,彰化縣伸港鄉新港村17鄰自強路30號,2026-09-13
伸港鄉泉厝村泉厝路102號,24.149303,120.479948,彰化縣伸港鄉泉厝村7鄰泉厝路102號,2026-09-13
伸港鄉泉州村仁愛路123號,24.148081,120.482617,彰化縣伸港鄉泉州村11鄰仁愛路123號,2026-09-13
健行國小,24.159372,120.672764,臺中市北區健行里35鄰健行路666號,2026-09-13
先鋒路293號,22.678295,120.282510,高雄市左營區崇實里28鄰先鋒路293號,2026-09-13
內埔鄉大同路2段福泉路120號,22.636009,120.572958,屏東縣內埔鄉東勢村5鄰大同路二段102號,2026-09-13
內埔鄉廣濟路2號,22.609459,120.565999,屏東縣內埔鄉內埔村16鄰廣濟路2號,2026-09-13
內埔鄉東寧村民善路3號,22.622291,120.558731,屏東縣內埔鄉東寧村30鄰民善路3號,2026-09-13
內埔鄉科大路1段36號,22.632058,120.591177,屏東縣內埔鄉老埤村20鄰科大路一段36號,2026-09-13
內門區溝坪里廣福28之10號,22.996441,120.502940,高雄市內門區溝坪里3鄰廣福28之10號,2026-09-13
八德區介壽路2段361巷96號,24.947098,121.299926,桃園市八德區大順里2鄰介壽路二段361巷96號,2026-09-13
八德區僑愛一街135號,24.924115,121.294626,桃園市八德區瑞德里34鄰僑愛一街135號,2026-09-13
八里區忠八街2號,25.160305,121.419406,新北市八里區大崁里13鄰忠八街2號,2026-09-13
八里區龍米路2段96號,25.148000,121.445068,新北市八里區米倉里9鄰龍米路二段96號,2026-09-13
公親寮清水寺,23.077764,120.199532,臺南市安南區公親里3鄰公學路一段228號,2026-09-13
公館鄉南河村2鄰25號,24.530110,120.852514,苗栗縣公館鄉南河村2鄰南河25號,2026-09-13
十全一路220號,22.645974,120.305256,高雄市三民區安和里1鄰十全一路220號,2026-09-13
南寧路46號,25.036064,121.504598,臺北市萬華區富福里15鄰南寧路46號,2026-09-13
南州鄉米崙村中興路86號,22.484037,120.518546,屏東縣南州鄉米崙村8鄰中興路86號,2026-09-13
南平路470號,25.016845,121.294842,桃園市桃園區寶安里25鄰南平路470號,2026-09-13
南庄鄉東村文化路3號,24.600358,120.999305,苗栗縣南庄鄉東村15鄰文化路3號,2026-09-13
南投縣中寮鄉和興村永樂路143之2號,23.907057,120.809887,南投縣中寮鄉和興村8鄰永樂路143之12號,2026-09-13
南投縣中寮鄉永平路316號,23.880099,120.764751,南投縣中寮鄉永平村15鄰永平路316號,2026-09-13
南投縣中寮鄉永平路447之12號,23.894863,120.724398,南投縣中寮鄉義和村4鄰永平路447之12號,2026-09-13
南投縣中寮鄉永平路85之3號,23.869392,120.777202,南投縣中寮鄉廣興村11鄰永平路85之3號,2026-09-13
南投縣仁愛鄉春陽村3鄰龍山巷78號,24.027527,121.147454,南投縣仁愛鄉春陽村3鄰龍山巷78號,2026-09-13
南投縣信義鄉新鄉村新鄉路71號,23.640812,120.871167,南投縣信義鄉新鄉村5鄰新鄉路71號,2026-09-13
南投縣南投市三興里嶺興路66號,23.902932,120.666775,南投縣南投市三興里30鄰嶺興路66號,2026-09-13
