raw,county,source,reason,count
內湖高工,臺北市,taipei-cc,只有場地名,552
臺北市濟南路一段六號,臺北市,moe-cc-courses,只有場地名,347
市立大里高中,臺中市,moe-cc-courses,只有場地名,165
信義,,cc-shared-platform,只有場地名,152
稻江,,cc-shared-platform,只有場地名,150
成德,,cc-shared-platform,只有場地名,134
臺北市南港運動中心 5F,,xuanen-centers,只有場地名,127
景美,,cc-shared-platform,只有場地名,126
林口國民運動中心 一樓綜合教室,,xuanen-centers,只有場地名,113
校本部,,cc-shared-platform,只有場地名,109
豐東國中,臺中市,moe-cc-courses,只有場地名,101
三峽,,cc-shared-platform,只有場地名,94
臺北市南港運動中心 2F,,xuanen-centers,只有場地名,88
竹東鎮,,cc-shared-platform,只有場地名,79
竹北,,cc-shared-platform,只有場地名,78
桃園市,桃園市,taiwanjobs,只有場地名,77
校本,,cc-shared-platform,只有場地名,75
校本部（河濱國小),高雄市,moe-cc-courses,只有場地名,74
臺中市太平國民暨兒童運動中心 游泳池,,xuanen-centers,只有場地名,73
潭子,,cc-shared-platform,只有場地名,69
長春國民暨兒童運動中心 游泳池,,xuanen-centers,只有場地名,69
佳里國中,臺南市,moe-cc-courses,只有場地名,68
僑忠國小,臺中市,moe-cc-courses,只有場地名,65
彰化縣彰北國民運動中心 游泳池,,xuanen-centers,只有場地名,64
東區,,cc-shared-platform,只有場地名,61
桃園國民運動中心 韻律教室1,,xuanen-centers,只有場地名,59
臺北市內湖運動中心 游泳池,,xuanen-centers,只有場地名,58
鷺江國小,新北市,moe-cc-courses,只有場地名,56
康寧大學,臺北市,taipei-cc,只有場地名,55
高雄市鳳山運動園區 游泳池,,xuanen-centers,只有場地名,54
楊梅體育園區 瑜珈教室,,xuanen-centers,只有場地名,53
戶外,,cc-shared-platform,只有場地名,52
臺中市大里國民暨兒童運動中心 游泳池,,xuanen-centers,只有場地名,51
豐湖,,cc-shared-platform,只有場地名,50
真理大學台南校區,臺南市,moe-cc-courses,只有場地名,49
桃園國民運動中心 韻律教室3,,xuanen-centers,只有場地名,49
wdyg-wd32 游泳池,,xuanen-centers,只有場地名,48
港工,,cc-shared-platform,只有場地名,47
北辰國小,雲林縣,yunlin-cc,只有場地名,46
