id	類別	層	名稱	端點	方法	格式	實測筆數	實測日	即時性	名額欄位	座標	狀態	備註
moe-cc-courses	社大	全國	教育部全國社大網課程	https://cc.moe.edu.tw/view/public_page/pub_load_ajax.php	POST form: user_id=0, json_str_aes={"act_type":"load_course_list","quarter":"1151",...,"i_display_start":0,"i_display_length":20000}, aoData=[]	json	13011	2026-09-13	落後：中位數開課後50天建檔	無	無（地址文字）	已接	robots Allow /；歷史層＋全國覆蓋
moe-cc-filter	社大	全國	教育部全國社大網篩選清單	https://cc.moe.edu.tw/view/public_page/pub_load_ajax.php	POST form: user_id=0, json_str={"act_type":"load_school_quarter_list","system_group":"AFTER1101"}	json	22縣市/90校/24期別	2026-09-13	—	—	—	不需接	已被 moe-cc-courses 涵蓋：那支的 fetchRaw() 會呼叫 fetchSchools() 打同一個端點，把 school_list(90)／region_list(22)／quarter_list(24) 原樣存成 raw 的第一列 _kind=meta。2026-09-13 直接打端點比對，三者筆數與 raw 內完全一致。另接一支只會重複抓同一份資料
moe-cc-detail	社大	全國	教育部全國社大網課程詳情	https://cc.moe.edu.tw/view/public_page/pub_load_ajax.php	POST form: user_id=0, json_str={"act_type":"load_course_content","course_id":N}	json	13010	2026-09-13	同上	無	無（地址文字）	已接	增量逐筆抓，快取在 ingest/raw/moe-cc-detail.json。接它的理由是 internal_course_code（列表端點沒有，cluster 1.0 規則靠它；抽 40 門對臺北市聯網命中 35）與 course_intro（全站僅 25% 有描述）。course_cat_name 是行政三分類（生活藝能／學術／社團），不是科目，不用
moe-cc-sites	社大	全國	社區大學據點資訊（dataset 40181）	https://depart.moe.edu.tw/ed2400/Common/HitCount.ashx?p=C535150A0F617C6860CE01B098F7F2109789188FC445F71F5A68B1573A6310F8042DF60722082B0858719ECE87C7AD0715382C4021794C49AA4D5C2DF38858B39B7E17D2603DD16F955BC608E943D06B1CC821D950486A55C78E377A175B8AB6&type=FB01D469347C76A7&s=C9B2F32BA415989D	GET	csv	12859	2026-09-11	每學期	—	無（地址）	已接	教室 venue 種子
taipei-cc	社大	縣市	臺北市社大聯網	https://lle.tp.edu.tw/api/course?limit=5000&page=1	GET	json	6045	2026-09-11	即時	openStatus 列舉	無	已接	含樂齡學堂/樂齡中心/成人教育班
ntpc-cc	社大	縣市	新北市社大聯合資訊網	https://cci.ntpc.edu.tw/cht/index.php?code=list&ids=15&page=1	GET	html	1500	2026-09-12	即時	開課狀況列舉	無	已接	列表：開課日/分類/行政區/社大/課名/教師/星期/狀況
taichung-cc	社大	縣市	臺中市社大共學Full聯網	https://cc.tc.edu.tw/application/index/course-search-data?semester_state=383&kind=courseTabList&page=1	GET	html片段	1295	2026-09-13	即時	報名人數/名額 數字	無	已接	—
cc-shared-platform	社大	單位	社大共用報名平台（twcc/twcu/twco/tycc/course.org.tw/frog.tw）	https://ss.twcc.org.tw/course/m_course_list.php	GET	html	4077	2026-09-13	即時	開/滿/停開 旗標	無	已接	26 主機約30校；detail u= 雜湊每學期換；2026-09-13 加入 fonghu（新竹縣，89 門），ty/lsy 仍 503
yunlin-cc	社大	單位	雲林4社大共用	https://www.seacoast.url.tw/ajax/SchoolTimetable-data.php	GET	未解析	389	2026-09-13	—	—	—	已接	favorlangriver/seacoast/ylsxcu/ylpucu
taoyuan-cc-portal	社大	縣市	桃園市社大聯網	https://ta.twcc.org.tw/front/search.php	GET	html	1206	2026-09-13	—	—	—	已接	首頁無115字樣
